framework	molecule	T_ads_K	T_des_K	P_ads_Pa	P_des_Pa	SD
Bhathia_01	R125	283.0	283.0	100000.0	100.0	134.19116135106555
Bhathia_01	R125	283.0	283.0	100000.0	123.41553253454694	134.19116135106555
Bhathia_01	R125	283.0	283.0	100000.0	152.31393670785815	134.01363980324348
Bhathia_01	R125	283.0	283.0	100000.0	187.9790561123359	133.07233492210855
Bhathia_01	R125	283.0	283.0	100000.0	231.9953531544542	132.0113022324853
Bhathia_01	R125	283.0	283.0	100000.0	286.3183005509725	130.8346786053531
Bhathia_01	R125	283.0	283.0	100000.0	353.36125536884737	129.52895997507102
Bhathia_01	R125	283.0	283.0	100000.0	436.10267508422373	128.0729713477844
Bhathia_01	R125	283.0	283.0	100000.0	538.2184388525997	126.46456645795352
Bhathia_01	R125	283.0	283.0	100000.0	664.2451525090609	124.68044458611237
Bhathia_01	R125	283.0	283.0	100000.0	819.7816923039709	122.70481786104908
Bhathia_01	R125	283.0	283.0	100000.0	1011.7379411776668	120.53391436277983
Bhathia_01	R125	283.0	283.0	100000.0	1248.6417679584788	118.13727041467388
Bhathia_01	R125	283.0	283.0	100000.0	1541.0178873747384	115.50229142604722
Bhathia_01	R125	283.0	283.0	100000.0	1901.8554321561603	112.61174569370701
Bhathia_01	R125	283.0	283.0	100000.0	2347.1850096327344	109.44758578539088
Bhathia_01	R125	283.0	283.0	100000.0	2896.7908792092962	105.99184358083619
Bhathia_01	R125	283.0	283.0	100000.0	3575.0898899883373	102.22679392279852
Bhathia_01	R125	283.0	283.0	100000.0	4412.216226317855	98.1342059635881
Bhathia_01	R125	283.0	283.0	100000.0	5445.360152285872	93.69732570430465
Bhathia_01	R125	283.0	283.0	100000.0	6720.420230367625	88.90034443908233
Bhathia_01	R125	283.0	283.0	100000.0	8294.04241586763	83.72948445837096
Bhathia_01	R125	283.0	283.0	100000.0	10236.13661618424	78.17472697361285
Bhathia_01	R125	283.0	283.0	100000.0	12632.982515827533	72.23124713079818
Bhathia_01	R125	283.0	283.0	100000.0	15591.062646904755	65.90220451700766
Bhathia_01	R125	283.0	283.0	100000.0	19241.792993472332	59.202103333325276
Bhathia_01	R125	283.0	283.0	100000.0	23747.361292089023	52.15842772936615
Bhathia_01	R125	283.0	283.0	100000.0	29307.932401534592	44.81592079758076
Bhathia_01	R125	283.0	283.0	100000.0	36170.54084821895	37.23624730057969
Bhathia_01	R125	283.0	283.0	100000.0	44640.065608455254	29.497068864719306
Bhathia_01	R125	283.0	283.0	100000.0	55092.77469444619	21.68831103121906
Bhathia_01	R125	283.0	283.0	100000.0	67993.04127720889	13.905436587987095
Bhathia_01	R125	283.0	283.0	100000.0	83913.97397870166	6.240796808956997
Bhathia_01	R125	283.0	283.0	100000.0	103562.87785671582	1.226062288261614
Bhathia_01	R125	283.0	283.0	100000.0	127812.67721496821	8.438182291501843
Bhathia_01	R125	283.0	283.0	100000.0	157740.69623151456	15.371870671633218
Bhathia_01	R125	283.0	283.0	100000.0	194676.5202778257	15.784889921209066
Bhathia_01	R125	283.0	283.0	100000.0	240261.06422060388	15.784889921209066
Bhathia_01	R125	283.0	283.0	100000.0	296519.4718810281	15.784889921209066
Bhathia_01	R125	283.0	283.0	100000.0	365951.085290597	15.784889921209066
Bhathia_01	R125	283.0	283.0	100000.0	451640.4807273444	15.784889921209066
Bhathia_01	R125	283.0	283.0	100000.0	557394.5044312399	15.784889921209066
Bhathia_01	R125	283.0	283.0	100000.0	687911.3959621136	15.784889921209066
Bhathia_01	R125	283.0	283.0	100000.0	848989.5126924784	15.784889921209066
Bhathia_01	R125	283.0	283.0	100000.0	1047784.9282518772	15.784889921209066
Bhathia_01	R125	283.0	283.0	100000.0	1293129.349018775	15.784889921209066
Bhathia_01	R125	283.0	283.0	100000.0	1595922.4724520412	15.784889921209066
Bhathia_01	R125	283.0	283.0	100000.0	1969616.2182151948	15.784889921209066
Bhathia_01	R125	283.0	283.0	100000.0	2430812.344597087	15.784889921209066
Bhathia_01	R125	283.0	283.0	100000.0	3000000.000000001	15.784889921209066
Bhathia_01	R125	303.0	303.0	100000.0	100.0	105.26458702795439
