framework	molecule	T_ads_K	T_des_K	P_ads_Pa	P_des_Pa	SD
Bhathia_01	R125	283.0	283.0	100000.0	100.0	134.52568769005632
Bhathia_01	R125	283.0	283.0	100000.0	103.5079362523115	134.52568769005632
Bhathia_01	R125	283.0	283.0	100000.0	107.13892867212581	134.52568769005632
Bhathia_01	R125	283.0	283.0	100000.0	110.89729399135348	134.52568769005632
Bhathia_01	R125	283.0	283.0	100000.0	114.78750037010863	134.52568769005632
Bhathia_01	R125	283.0	283.0	100000.0	118.81417270871387	134.52568769005632
Bhathia_01	R125	283.0	283.0	100000.0	122.98209814604685	134.52568769005632
Bhathia_01	R125	283.0	283.0	100000.0	127.29623175076546	134.52568769005632
Bhathia_01	R125	283.0	283.0	100000.0	131.76170241217702	134.52568769005632
Bhathia_01	R125	283.0	283.0	100000.0	136.3838189377566	134.52568769005632
Bhathia_01	R125	283.0	283.0	100000.0	141.16807636456102	134.52568769005632
Bhathia_01	R125	283.0	283.0	100000.0	146.12016249204424	134.52075893920644
Bhathia_01	R125	283.0	283.0	100000.0	151.24596464403913	134.38121752070342
Bhathia_01	R125	283.0	283.0	100000.0	156.55157666794562	134.2388602987396
Bhathia_01	R125	283.0	283.0	100000.0	162.04330617944572	134.09364034005185
Bhathia_01	R125	283.0	283.0	100000.0	167.72768206135862	133.94550685208466
Bhathia_01	R125	283.0	283.0	100000.0	173.6114622255508	133.7944019098335
Bhathia_01	R125	283.0	283.0	100000.0	179.70164164712898	133.64027870687153
Bhathia_01	R125	283.0	283.0	100000.0	186.00546068046754	133.4830888376429
Bhathia_01	R125	283.0	283.0	100000.0	192.53041366695666	133.32277144622876
Bhathia_01	R125	283.0	283.0	100000.0	199.28425784470534	133.15929076662846
Bhathia_01	R125	283.0	283.0	100000.0	206.27502257078967	132.99257266881534
Bhathia_01	R125	283.0	283.0	100000.0	213.51101886701414	132.8225720605884
Bhathia_01	R125	283.0	283.0	100000.0	221.00084930052978	132.649233521498
Bhathia_01	R125	283.0	283.0	100000.0	228.7534182110594	132.47250102244078
Bhathia_01	R125	283.0	283.0	100000.0	236.77794229688686	132.29232444934553
Bhathia_01	R125	283.0	283.0	100000.0	245.08396157219659	132.10864705459042
Bhathia_01	R125	283.0	283.0	100000.0	253.68135070878884	131.92139740903545
Bhathia_01	R125	283.0	283.0	100000.0	262.58033077565597	131.73053216894252
Bhathia_01	R125	283.0	283.0	100000.0	271.7914813903746	131.53598717857705
Bhathia_01	R125	283.0	283.0	100000.0	281.32575329676206	131.33771836646596
Bhathia_01	R125	283.0	283.0	100000.0	291.1944813837476	131.1356453034238
Bhathia_01	R125	283.0	283.0	100000.0	301.4093981609385	130.9297284954644
Bhathia_01	R125	283.0	283.0	100000.0	311.9826477069	130.7198914112101
Bhathia_01	R125	283.0	283.0	100000.0	322.92680010673166	130.5060956305618
Bhathia_01	R125	283.0	283.0	100000.0	334.2548663961052	130.28825654414186
Bhathia_01	R125	283.0	283.0	100000.0	345.9803140295299	130.06633427793386
Bhathia_01	R125	283.0	283.0	100000.0	358.11708289123294	129.84024723101928
