framework	molecule	T_ads_K	T_des_K	P_ads_Pa	P_des_Pa	SD
Bhathia_01	R125	283.0	283.0	100000.0	100.0	134.19487048849143
Bhathia_01	R125	283.0	283.0	100000.0	123.41553253454694	134.19487048849143
Bhathia_01	R125	283.0	283.0	100000.0	152.31393670785815	134.01665648385475
Bhathia_01	R125	283.0	283.0	100000.0	187.9790561123359	133.07171685097515
Bhathia_01	R125	283.0	283.0	100000.0	231.9953531544542	132.0066652280718
Bhathia_01	R125	283.0	283.0	100000.0	286.3183005509725	130.8256793630884
Bhathia_01	R125	283.0	283.0	100000.0	353.36125536884737	129.5152517463409
Bhathia_01	R125	283.0	283.0	100000.0	436.10267508422373	128.05419322107684
Bhathia_01	R125	283.0	283.0	100000.0	538.2184388525997	126.44034834512892
Bhathia_01	R125	283.0	283.0	100000.0	664.2451525090609	124.65052789313444
Bhathia_01	R125	283.0	283.0	100000.0	819.7816923039709	122.66878656356546
Bhathia_01	R125	283.0	283.0	100000.0	1011.7379411776668	120.49165237095558
Bhathia_01	R125	283.0	283.0	100000.0	1248.6417679584788	118.08857964586741
Bhathia_01	R125	283.0	283.0	100000.0	1541.0178873747384	115.44713023245882
Bhathia_01	R125	283.0	283.0	100000.0	1901.8554321561603	112.55020839312988
Bhathia_01	R125	283.0	283.0	100000.0	2347.1850096327344	109.37989842901248
Bhathia_01	R125	283.0	283.0	100000.0	2896.7908792092962	105.91838621048566
Bhathia_01	R125	283.0	283.0	100000.0	3575.0898899883373	102.14811186498154
Bhathia_01	R125	283.0	283.0	100000.0	4412.216226317855	98.0509612213431
Bhathia_01	R125	283.0	283.0	100000.0	5445.360152285872	93.61028773402049
Bhathia_01	R125	283.0	283.0	100000.0	6720.420230367625	88.81032442114545
Bhathia_01	R125	283.0	283.0	100000.0	8294.04241586763	83.63730033284949
Bhathia_01	R125	283.0	283.0	100000.0	10236.13661618424	78.08116842218178
Bhathia_01	R125	283.0	283.0	100000.0	12632.982515827533	72.13708601749029
Bhathia_01	R125	283.0	283.0	100000.0	15591.062646904755	65.80824223694194
