framework	molecule	T_ads_K	T_des_K	P_ads_Pa	P_des_Pa	SD
Bhathia_01	R125	283.0	303.0	100000.0	146.12016249204424	0.0049274951149546106
Bhathia_01	R125	283.0	303.0	100000.0	151.24596464403913	0.14444749235758922
Bhathia_01	R125	283.0	303.0	100000.0	156.55157666794562	0.28678313045866277
Bhathia_01	R125	283.0	303.0	100000.0	162.04330617944572	0.4319838538871294
Bhathia_01	R125	283.0	303.0	100000.0	167.72768206135862	0.5800996641276941
Bhathia_01	R125	283.0	303.0	100000.0	173.6114622255508	0.7311811125740081
Bhathia_01	R125	283.0	303.0	100000.0	179.70164164712898	0.8852792927204067
Bhathia_01	R125	283.0	303.0	100000.0	186.00546068046754	1.0424466763780837
Bhathia_01	R125	283.0	303.0	100000.0	192.53041366695666	1.2027363244906109
Bhathia_01	R125	283.0	303.0	100000.0	199.28425784470534	1.3662010249772132
Bhathia_01	R125	283.0	303.0	100000.0	206.27502257078967	1.532894051069911
Bhathia_01	R125	283.0	303.0	100000.0	213.51101886701414	1.7028691884005658
Bhathia_01	R125	283.0	303.0	100000.0	221.00084930052978	1.8761811024805306
Bhathia_01	R125	283.0	303.0	100000.0	228.7534182110594	2.0528861201698527
Bhathia_01	R125	283.0	303.0	100000.0	236.77794229688686	2.2330397224434866
Bhathia_01	R125	283.0	303.0	100000.0	245.08396157219659	2.416697641933806
Bhathia_01	R125	283.0	303.0	100000.0	253.68135070878884	2.6039161345480792
Bhathia_01	R125	283.0	303.0	100000.0	262.58033077565597	2.794752586510519
Bhathia_01	R125	283.0	303.0	100000.0	271.7914813903746	2.9892657696573157
Bhathia_01	R125	283.0	303.0	100000.0	281.32575329676206	3.1875133181109967
Bhathia_01	R125	283.0	303.0	100000.0	291.1944813837476	3.3895531751651515
Bhathia_01	R125	283.0	303.0	100000.0	301.4093981609385	3.595443730269928
Bhathia_01	R125	283.0	303.0	100000.0	311.9826477069	3.8052461064953156
Bhathia_01	R125	283.0	303.0	100000.0	322.92680010673166	4.019019689803832
Bhathia_01	R125	283.0	303.0	100000.0	334.2548663961052	4.236824003189926
Bhathia_01	R125	283.0	303.0	100000.0	345.9803140295299	4.458718836151977
Bhathia_01	R125	283.0	303.0	100000.0	358.11708289123294	4.684766626901283
Bhathia_01	R125	283.0	303.0	100000.0	370.67960186769494	4.91502847858046
Bhathia_01	R125	283.0	303.0	100000.0	383.6828060015357	5.149564989249639
Bhathia_01	R125	283.0	303.0	100000.0	397.1421542471496	5.388437348974614
Bhathia_01	R125	283.0	303.0	100000.0	411.0736478491962	5.631709865112751
Bhathia_01	R125	283.0	303.0	100000.0	425.49384936579753	5.879443726386071
Bhathia_01	R125	283.0	303.0	100000.0	440.41990235905604	6.028440256995358
Bhathia_01	R125	283.0	303.0	100000.0	455.86955177630426	6.131750009279435
Bhathia_01	R125	283.0	303.0	100000.0	471.8611650463152	6.236374375400825
Bhathia_01	R125	283.0	303.0	100000.0	488.41375391555476	6.342312167481668
Bhathia_01	R125	283.0	303.0	100000.0	505.546997050434	6.449564473049973
