framework	molecule	T_ads_K	T_des_K	P_ads_Pa	P_des_Pa	SD
Bhathia_01	R125	283.0	283.0	1000000.0	1000.0	136.80267293543966
Bhathia_01	R125	283.0	303.0	1000000.0	1000.0	145.64127476662614
Bhathia_01	R125	283.0	333.0	1000000.0	1000.0	150.4298822739998
Bhathia_01	R125	283.0	353.0	1000000.0	1000.0	150.4298822739998
Bhathia_01	R125	303.0	283.0	1000000.0	1000.0	136.80267293543966
Bhathia_01	R125	303.0	303.0	1000000.0	1000.0	145.64127476662614
Bhathia_01	R125	303.0	333.0	1000000.0	1000.0	150.4298822739998
Bhathia_01	R125	303.0	353.0	1000000.0	1000.0	150.4298822739998
Bhathia_01	R125	333.0	283.0	1000000.0	1000.0	131.1394428385436
Bhathia_01	R125	333.0	303.0	1000000.0	1000.0	139.9779710757182
Bhathia_01	R125	333.0	333.0	1000000.0	1000.0	144.76653027039166
Bhathia_01	R125	333.0	353.0	1000000.0	1000.0	144.76653027039166
Bhathia_01	R125	353.0	283.0	1000000.0	1000.0	113.63938204259665
Bhathia_01	R125	353.0	303.0	1000000.0	1000.0	122.47766985977523
Bhathia_01	R125	353.0	333.0	1000000.0	1000.0	127.26608580955698
Bhathia_01	R125	353.0	353.0	1000000.0	1000.0	127.26608580955698
