#Structure 	Molecule	Mixture/Pure	Temperature 	Pressure	Loading (mol/kg)
Bhathia_01	R125	pure	283	1	0.001416524
Bhathia_01	R125	pure	283	30000	3.172974557
Bhathia_01	R125	pure	283	100000	4.660827616
Bhathia_01	R125	pure	283	300000	5.696360778
Bhathia_01	R125	pure	283	1000000	6.224186678
Bhathia_01	R125	pure	283	3000000	6.458180389
Bhathia_01	R125	pure	283	3	0.003930818
Bhathia_01	R125	pure	283	10	0.013852201
Bhathia_01	R125	pure	283	30	0.038833619
Bhathia_01	R125	pure	283	100	0.114598342
Bhathia_01	R125	pure	283	300	0.265648942
Bhathia_01	R125	pure	283	1000	0.6010506
Bhathia_01	R125	pure	283	3000	1.084162379
Bhathia_01	R125	pure	283	10000	1.931965409
Bhathia_01	R125	pure	303	1	0.000447399
Bhathia_01	R125	pure	303	30000	2.214546884
Bhathia_01	R125	pure	303	100000	3.690851915
Bhathia_01	R125	pure	303	300000	4.983451973
Bhathia_01	R125	pure	303	1000000	5.753137507
Bhathia_01	R125	pure	303	3000000	6.100917667
Bhathia_01	R125	pure	303	3	0.001416524
Bhathia_01	R125	pure	303	10	0.004735563
Bhathia_01	R125	pure	303	30	0.013862207
Bhathia_01	R125	pure	303	100	0.047119783
Bhathia_01	R125	pure	303	300	0.126832476
Bhathia_01	R125	pure	303	1000	0.315487421
Bhathia_01	R125	pure	303	3000	0.657118353
Bhathia_01	R125	pure	303	10000	1.283910806
Bhathia_01	R125	pure	333	1	0.000131504
Bhathia_01	R125	pure	333	30000	1.290437393
Bhathia_01	R125	pure	333	100000	2.411583762
Bhathia_01	R125	pure	333	300000	3.747449971
Bhathia_01	R125	pure	333	1000000	5.008479131
Bhathia_01	R125	pure	333	3000000	5.624099485
Bhathia_01	R125	pure	333	3	0.000380217
Bhathia_01	R125	pure	333	10	0.001226415
Bhathia_01	R125	pure	333	30	0.003913665
Bhathia_01	R125	pure	333	100	0.012394225
Bhathia_01	R125	pure	333	300	0.038929388
Bhathia_01	R125	pure	333	1000	0.117681532
Bhathia_01	R125	pure	333	3000	0.283277587
Bhathia_01	R125	pure	333	10000	0.676843911
Bhathia_01	R125	pure	353	1	6.57519E-05
Bhathia_01	R125	pure	353	30000	0.898910806
Bhathia_01	R125	pure	353	100000	1.785130074
Bhathia_01	R125	pure	353	300000	3.030826186
Bhathia_01	R125	pure	353	1000000	4.427954546
Bhathia_01	R125	pure	353	3000000	5.231642367
Bhathia_01	R125	pure	353	3	0.00016438
Bhathia_01	R125	pure	353	10	0.000643225
Bhathia_01	R125	pure	353	30	0.001851058
Bhathia_01	R125	pure	353	100	0.006020583
Bhathia_01	R125	pure	353	300	0.018895083
Bhathia_01	R125	pure	353	1000	0.060759005
Bhathia_01	R125	pure	353	3000	0.165974843
Bhathia_01	R125	pure	353	10000	0.442931675
