framework	molecule	temperature_K	pressure_Pa	loading_mol_per_kg
Bhathia_01	R125	283.0	1.0	0.001416524
Bhathia_01	R125	283.0	30000.0	3.172974557
Bhathia_01	R125	283.0	100000.0	4.660827616
Bhathia_01	R125	283.0	300000.0	5.696360778
Bhathia_01	R125	283.0	1000000.0	6.224186678
Bhathia_01	R125	283.0	3000000.0	6.458180389
Bhathia_01	R125	283.0	3.0	0.003930818
Bhathia_01	R125	283.0	10.0	0.013852201
Bhathia_01	R125	283.0	30.0	0.038833619
Bhathia_01	R125	283.0	100.0	0.114598342
Bhathia_01	R125	283.0	300.0	0.265648942
Bhathia_01	R125	283.0	1000.0	0.6010506
Bhathia_01	R125	283.0	3000.0	1.084162379
Bhathia_01	R125	283.0	10000.0	1.931965409
Bhathia_01	R125	303.0	1.0	0.000447399
Bhathia_01	R125	303.0	30000.0	2.214546884
Bhathia_01	R125	303.0	100000.0	3.690851915
Bhathia_01	R125	303.0	300000.0	4.983451973
Bhathia_01	R125	303.0	1000000.0	5.753137507
Bhathia_01	R125	303.0	3000000.0	6.100917667
Bhathia_01	R125	303.0	3.0	0.001416524
Bhathia_01	R125	303.0	10.0	0.004735563
Bhathia_01	R125	303.0	30.0	0.013862207
Bhathia_01	R125	303.0	100.0	0.047119783
Bhathia_01	R125	303.0	300.0	0.126832476
Bhathia_01	R125	303.0	1000.0	0.315487421
Bhathia_01	R125	303.0	3000.0	0.657118353
Bhathia_01	R125	303.0	10000.0	1.283910806
Bhathia_01	R125	333.0	1.0	0.000131504
Bhathia_01	R125	333.0	30000.0	1.290437393
Bhathia_01	R125	333.0	100000.0	2.411583762
Bhathia_01	R125	333.0	300000.0	3.747449971
Bhathia_01	R125	333.0	1000000.0	5.008479131
Bhathia_01	R125	333.0	3000000.0	5.624099485
Bhathia_01	R125	333.0	3.0	0.000380217
Bhathia_01	R125	333.0	10.0	0.001226415
Bhathia_01	R125	333.0	30.0	0.003913665
Bhathia_01	R125	333.0	100.0	0.012394225
Bhathia_01	R125	333.0	300.0	0.038929388
Bhathia_01	R125	333.0	1000.0	0.117681532
Bhathia_01	R125	333.0	3000.0	0.283277587
Bhathia_01	R125	333.0	10000.0	0.676843911
Bhathia_01	R125	353.0	1.0	6.57519e-05
Bhathia_01	R125	353.0	30000.0	0.898910806
Bhathia_01	R125	353.0	100000.0	1.785130074
Bhathia_01	R125	353.0	300000.0	3.030826186
Bhathia_01	R125	353.0	1000000.0	4.427954546
Bhathia_01	R125	353.0	3000000.0	5.231642367
Bhathia_01	R125	353.0	3.0	0.00016438
Bhathia_01	R125	353.0	10.0	0.000643225
Bhathia_01	R125	353.0	30.0	0.001851058
Bhathia_01	R125	353.0	100.0	0.006020583
Bhathia_01	R125	353.0	300.0	0.018895083
Bhathia_01	R125	353.0	1000.0	0.060759005
Bhathia_01	R125	353.0	3000.0	0.165974843
Bhathia_01	R125	353.0	10000.0	0.442931675
