framework	molecule	loading_mol_per_kg	Qst_kJmol
Bhathia_01	R125	0.16926766813383268	34.95883496950951
Bhathia_01	R125	0.2828068706929295	33.95288220996634
Bhathia_01	R125	0.3963460732520263	33.30519149703104
Bhathia_01	R125	0.5098852758111231	32.93651643038134
Bhathia_01	R125	0.62342447837022	32.66103468088989
Bhathia_01	R125	0.7369636809293167	32.25249343045032
Bhathia_01	R125	0.8505028834884136	31.79288212819356
Bhathia_01	R125	0.9640420860475104	31.370179693559834
Bhathia_01	R125	1.0775812886066072	31.040578861289585
Bhathia_01	R125	1.191120491165704	30.74039429399708
Bhathia_01	R125	1.304659693724801	30.42084736442447
Bhathia_01	R125	1.4181988962838976	30.105398533261955
Bhathia_01	R125	1.5317380988429945	29.81205915438642
Bhathia_01	R125	1.6452773014020914	29.55289445842137
Bhathia_01	R125	1.758816503961188	29.33265333349078
Bhathia_01	R125	1.872355706520285	29.151490641973272
Bhathia_01	R125	1.9858949090793818	29.0110139216619
Bhathia_01	R125	2.0994341116384785	28.904622299448278
Bhathia_01	R125	2.2129733141975754	28.82418597285256
Bhathia_01	R125	2.3265125167566723	28.76422899387
Bhathia_01	R125	2.440051719315769	28.71880910379392
Bhathia_01	R125	2.553590921874866	28.686039818026355
Bhathia_01	R125	2.6671301244339625	28.665305335876642
Bhathia_01	R125	2.7806693269930594	28.655286138015178
Bhathia_01	R125	2.8942085295521562	28.65471124717855
Bhathia_01	R125	3.007747732111253	28.662361244573518
Bhathia_01	R125	3.12128693467035	28.6812598077336
Bhathia_01	R125	3.234826137229447	28.72015318748436
Bhathia_01	R125	3.3483653397885433	28.767270000130512
Bhathia_01	R125	3.4619045423476402	28.822763273487254
Bhathia_01	R125	3.575443744906737	28.887792465593623
Bhathia_01	R125	3.688982947465834	28.96252712164046
Bhathia_01	R125	3.802522150024931	29.045135872944336
Bhathia_01	R125	3.9160613525840278	29.143329985713606
Bhathia_01	R125	4.029600555143125	29.258472656998876
Bhathia_01	R125	4.143139757702221	29.38874657971569
Bhathia_01	R125	4.2566789602613175	29.531625678471027
Bhathia_01	R125	4.370218162820414	29.684230297468947
Bhathia_01	R125	4.483757365379511	29.918108247652103
Bhathia_01	R125	4.597296567938608	30.57487552231873
Bhathia_01	R125	4.710835770497705	31.455814699186107
Bhathia_01	R125	4.824374973056802	32.30287007410433
Bhathia_01	R125	4.937914175615899	32.98277102264659
Bhathia_01	R125	5.051453378174996	33.45768762825603
Bhathia_01	R125	5.164992580734092	33.931752187747456
Bhathia_01	R125	5.278531783293189	34.45827442472038
Bhathia_01	R125	5.3920709858522855	35.932587429264515
Bhathia_01	R125	5.505610188411382	36.945027028767804
Bhathia_01	R125	5.619149390970479	37.43780704768801
