framework	molecule	T_ads_K	T_des_K	P_ads_Pa	P_des_Pa	SD
Bhathia_01	R125	283.0	283.0	50000.0	167.72768206135862	109.07183131038784
Bhathia_01	R125	283.0	283.0	50000.0	173.6114622255508	108.92965189066413
Bhathia_01	R125	283.0	283.0	50000.0	179.70164164712898	108.78277467332806
Bhathia_01	R125	283.0	283.0	50000.0	186.00546068046754	108.63055492438211
Bhathia_01	R125	283.0	283.0	50000.0	192.53041366695666	108.47312895812586
Bhathia_01	R125	283.0	283.0	50000.0	199.28425784470534	108.31027090660841
Bhathia_01	R125	283.0	283.0	50000.0	206.27502257078967	108.14181790837854
Bhathia_01	R125	283.0	283.0	50000.0	213.51101886701414	107.96753551816128
Bhathia_01	R125	283.0	283.0	50000.0	221.00084930052978	107.78721452363428
Bhathia_01	R125	283.0	283.0	50000.0	228.7534182110594	107.6018280372601
Bhathia_01	R125	283.0	283.0	50000.0	236.77794229688686	107.410296432769
Bhathia_01	R125	283.0	283.0	50000.0	245.08396157219659	107.21229767053634
Bhathia_01	R125	283.0	283.0	50000.0	253.68135070878884	107.00733725718221
Bhathia_01	R125	283.0	283.0	50000.0	262.58033077565597	106.7953935749826
Bhathia_01	R125	283.0	283.0	50000.0	271.7914813903746	106.57635552380496
Bhathia_01	R125	283.0	283.0	50000.0	281.32575329676206	106.34972129518309
Bhathia_01	R125	283.0	283.0	50000.0	291.1944813837476	106.11633234056792
Bhathia_01	R125	283.0	283.0	50000.0	301.4093981609385	105.8747922034458
Bhathia_01	R125	283.0	283.0	50000.0	311.9826477069	105.62461824828189
Bhathia_01	R125	283.0	283.0	50000.0	322.92680010673166	105.36595350121631
Bhathia_01	R125	283.0	283.0	50000.0	334.2548663961052	105.12873732868145
Bhathia_01	R125	283.0	283.0	50000.0	345.9803140295299	104.90370255535812
Bhathia_01	R125	283.0	283.0	50000.0	358.11708289123294	104.67122695072881
Bhathia_01	R125	283.0	283.0	50000.0	370.67960186769494	104.43086813020722
Bhathia_01	R125	283.0	283.0	50000.0	383.6828060015357	104.1820457315824
Bhathia_01	R125	283.0	283.0	50000.0	397.1421542471496	103.92458913074746
Bhathia_01	R125	283.0	283.0	50000.0	411.0736478491962	103.65947370671044
Bhathia_01	R125	283.0	283.0	50000.0	425.49384936579753	103.38589337960079
