framework	molecule	T_ads_K	T_des_K	P_ads_Pa	P_des_Pa	SD
Bhathia_01	R125	283.0	283.0	50000.0	167.72768206135862	108.87629542699514
Bhathia_01	R125	283.0	283.0	50000.0	173.6114622255508	108.73654059251876
Bhathia_01	R125	283.0	283.0	50000.0	179.70164164712898	108.59194870081143
Bhathia_01	R125	283.0	283.0	50000.0	186.00546068046754	108.4423542241814
Bhathia_01	R125	283.0	283.0	50000.0	192.53041366695666	108.28758361207358
Bhathia_01	R125	283.0	283.0	50000.0	199.28425784470534	108.12745709189423
Bhathia_01	R125	283.0	283.0	50000.0	206.27502257078967	107.9617951861524
Bhathia_01	R125	283.0	283.0	50000.0	213.51101886701414	107.79041450583736
Bhathia_01	R125	283.0	283.0	50000.0	221.00084930052978	107.61311988923303
Bhathia_01	R125	283.0	283.0	50000.0	228.7534182110594	107.42970650260985
Bhathia_01	R125	283.0	283.0	50000.0	236.77794229688686	107.23996504191558
Bhathia_01	R125	283.0	283.0	50000.0	245.08396157219659	107.04368381875366
Bhathia_01	R125	283.0	283.0	50000.0	253.68135070878884	106.8406484201274
Bhathia_01	R125	283.0	283.0	50000.0	262.58033077565597	106.63062461164218
Bhathia_01	R125	283.0	283.0	50000.0	271.7914813903746	106.41337166883235
Bhathia_01	R125	283.0	283.0	50000.0	281.32575329676206	106.18865328669973
Bhathia_01	R125	283.0	283.0	50000.0	291.1944813837476	105.9562168918486
Bhathia_01	R125	283.0	283.0	50000.0	301.4093981609385	105.7158048111926
Bhathia_01	R125	283.0	283.0	50000.0	311.9826477069	105.46714291047728
Bhathia_01	R125	283.0	283.0	50000.0	322.92680010673166	105.2099632253434
Bhathia_01	R125	283.0	283.0	50000.0	334.2548663961052	104.97362265513058
Bhathia_01	R125	283.0	283.0	50000.0	345.9803140295299	104.74904864063596
Bhathia_01	R125	283.0	283.0	50000.0	358.11708289123294	104.5167625642798
Bhathia_01	R125	283.0	283.0	50000.0	370.67960186769494	104.27650668775144
Bhathia_01	R125	283.0	283.0	50000.0	383.6828060015357	104.02801127671114
Bhathia_01	R125	283.0	283.0	50000.0	397.1421542471496	103.77099852357301
Bhathia_01	R125	283.0	283.0	50000.0	411.0736478491962	103.50518810203052
Bhathia_01	R125	283.0	283.0	50000.0	425.49384936579753	103.2302849935499
Bhathia_01	R125	283.0	283.0	50000.0	440.41990235905604	102.94598489561757
Bhathia_01	R125	283.0	283.0	50000.0	455.86955177630426	102.65197615514727
Bhathia_01	R125	283.0	283.0	50000.0	471.8611650463152	102.34794367985667
Bhathia_01	R125	283.0	283.0	50000.0	488.41375391555476	102.03353918799985
Bhathia_01	R125	283.0	283.0	50000.0	505.546997050434	101.7084349833407
Bhathia_01	R125	283.0	283.0	50000.0	523.2812634324383	101.37227232967565
Bhathia_01	R125	283.0	283.0	50000.0	541.6376365739385	101.06783157279386
Bhathia_01	R125	283.0	283.0	50000.0	560.6379395834789	100.7692028768901
Bhathia_01	R125	283.0	283.0	50000.0	580.30476111034	100.46039339148885
Bhathia_01	R125	283.0	283.0	50000.0	600.6614821992193	100.14106282717867
Bhathia_01	R125	283.0	283.0	50000.0	621.7323040869574	99.81086500445737
Bhathia_01	R125	283.0	283.0	50000.0	643.5422769743552	99.46944198065859
