framework	molecule	T_ads_K	T_des_K	P_ads_Pa	P_des_Pa	SD
Bhathia_01	R125	283.0	283.0	50000.0	167.72768206135862	109.1520798149504
Bhathia_01	R125	283.0	283.0	50000.0	173.6114622255508	109.00992227723576
Bhathia_01	R125	283.0	283.0	50000.0	179.70164164712898	108.86301658720878
Bhathia_01	R125	283.0	283.0	50000.0	186.00546068046754	108.71073490799395
Bhathia_01	R125	283.0	283.0	50000.0	192.53041366695666	108.55326251375573
Bhathia_01	R125	283.0	283.0	50000.0	199.28425784470534	108.39035594984448
Bhathia_01	R125	283.0	283.0	50000.0	206.27502257078967	108.22183650355849
Bhathia_01	R125	283.0	283.0	50000.0	213.51101886701414	108.04748750826307
Bhathia_01	R125	283.0	283.0	50000.0	221.00084930052978	107.86710125009763
Bhathia_01	R125	283.0	283.0	50000.0	228.7534182110594	107.68158977182992
Bhathia_01	R125	283.0	283.0	50000.0	236.77794229688686	107.48989589430391
Bhathia_01	R125	283.0	283.0	50000.0	245.08396157219659	107.29170287655477
Bhathia_01	R125	283.0	283.0	50000.0	253.68135070878884	107.08658589865165
Bhathia_01	R125	283.0	283.0	50000.0	262.58033077565597	106.87448479305135
Bhathia_01	R125	283.0	283.0	50000.0	271.7914813903746	106.65529262981497
Bhathia_01	R125	283.0	283.0	50000.0	281.32575329676206	106.4284718234524
Bhathia_01	R125	283.0	283.0	50000.0	291.1944813837476	106.19472733491405
Bhathia_01	R125	283.0	283.0	50000.0	301.4093981609385	105.95279405119895
Bhathia_01	R125	283.0	283.0	50000.0	311.9826477069	105.70218738384015
Bhathia_01	R125	283.0	283.0	50000.0	322.92680010673166	105.44311298427175
Bhathia_01	R125	283.0	283.0	50000.0	334.2548663961052	105.20551577004089
Bhathia_01	R125	283.0	283.0	50000.0	345.9803140295299	104.98007476957902
Bhathia_01	R125	283.0	283.0	50000.0	358.11708289123294	104.7471149316978
Bhathia_01	R125	283.0	283.0	50000.0	370.67960186769494	104.50624630954927
Bhathia_01	R125	283.0	283.0	50000.0	383.6828060015357	104.25693782290863
Bhathia_01	R125	283.0	283.0	50000.0	397.1421542471496	103.99898633868168
Bhathia_01	R125	283.0	283.0	50000.0	411.0736478491962	103.7332805277829
Bhathia_01	R125	283.0	283.0	50000.0	425.49384936579753	103.45903239895283
Bhathia_01	R125	283.0	283.0	50000.0	440.41990235905604	103.17473875148119
Bhathia_01	R125	283.0	283.0	50000.0	455.86955177630426	102.88048534565985
Bhathia_01	R125	283.0	283.0	50000.0	471.8611650463152	102.57628715076113
Bhathia_01	R125	283.0	283.0	50000.0	488.41375391555476	102.26197867388517
Bhathia_01	R125	283.0	283.0	50000.0	505.546997050434	101.9372282803248
Bhathia_01	R125	283.0	283.0	50000.0	523.2812634324383	101.60130442979172
Bhathia_01	R125	283.0	283.0	50000.0	541.6376365739385	101.2974779188927
Bhathia_01	R125	283.0	283.0	50000.0	560.6379395834789	100.99967513126748
Bhathia_01	R125	283.0	283.0	50000.0	580.30476111034	100.69157786838706
Bhathia_01	R125	283.0	283.0	50000.0	600.6614821992193	100.37262897402728
Bhathia_01	R125	283.0	283.0	50000.0	621.7323040869574	100.0428361856829
Bhathia_01	R125	283.0	283.0	50000.0	643.5422769743552	99.7022285385338
Bhathia_01	R125	283.0	283.0	50000.0	666.1173298072896	99.34996767243813
Bhathia_01	R125	283.0	283.0	50000.0	689.4843011025289	98.98590320290755
Bhathia_01	R125	283.0	283.0	50000.0	713.670970854901	98.60935299205714
Bhathia_01	R125	283.0	283.0	50000.0	738.7060935637436	98.21950061961533
Bhathia_01	R125	283.0	283.0	50000.0	764.6194324179003	97.8164879057953
Bhathia_01	R125	283.0	283.0	50000.0	791.4417946799063	97.45851911908879
Bhathia_01	R125	283.0	283.0	50000.0	819.2050683114275	97.10301841394896
Bhathia_01	R125	283.0	283.0	50000.0	847.9422598834972	96.73539532234639
Bhathia_01	R125	283.0	283.0	50000.0	877.6875338166207	96.35520213790461
Bhathia_01	R125	283.0	283.0	50000.0	908.4762529973926	95.96161735172316
Bhathia_01	R125	283.0	283.0	50000.0	940.3450208199293	95.55464163648902
Bhathia_01	R125	283.0	283.0	50000.0	973.3317247020778	95.13411563123458
Bhathia_01	R125	283.0	283.0	50000.0	1007.4755811281508	94.6996686804545
Bhathia_01	R125	283.0	283.0	50000.0	1042.817182271731	94.250121267935
Bhathia_01	R125	283.0	283.0	50000.0	1079.3985442539745	93.82857694074346
Bhathia_01	R125	283.0	283.0	50000.0	1117.2631570947824	93.44516228720433
Bhathia_01	R125	283.0	283.0	50000.0	1156.4560364162314	93.04932813020893
Bhathia_01	R125	283.0	283.0	50000.0	1197.023776959721	92.64035046808867
Bhathia_01	R125	283.0	283.0	50000.0	1239.0146079804795	92.21754728852063
Bhathia_01	R125	283.0	283.0	50000.0	1282.478450585262	91.78005956762783
Bhathia_01	R125	283.0	283.0	50000.0	1327.4669770814253	91.32789663110165
Bhathia_01	R125	283.0	283.0	50000.0	1374.0336724079282	90.86100973141436
Bhathia_01	R125	283.0	283.0	50000.0	1422.2338977212928	90.37899366934361
Bhathia_01	R125	283.0	283.0	50000.0	1472.124956212121	89.95445008873618
Bhathia_01	R125	283.0	283.0	50000.0	1523.766161230411	89.528961163051
Bhathia_01	R125	283.0	283.0	50000.0	1577.2189068006678	89.08904876134653
Bhathia_01	R125	283.0	283.0	50000.0	1632.5467406106395	88.63487815293574
Bhathia_01	R125	283.0	283.0	50000.0	1689.81543956045	88.16604478525409
Bhathia_01	R125	283.0	283.0	50000.0	1749.093087961948	87.681529458435
Bhathia_01	R125	283.0	283.0	50000.0	1810.45015848124	87.1805204205545
Bhathia_01	R125	283.0	283.0	50000.0	1873.9595959206342	86.66305318130871
Bhathia_01	R125	283.0	283.0	50000.0	1939.6969039396042	86.20083313987193
Bhathia_01	R125	283.0	283.0	50000.0	2007.7402348178655	85.7237332041842
Bhathia_01	R125	283.0	283.0	50000.0	2078.1704823672853	85.23068794519759
Bhathia_01	R125	283.0	283.0	50000.0	2151.0713781030845	84.721088015458
Bhathia_01	R125	283.0	283.0	50000.0	2226.529590788659	84.19471386645529
Bhathia_01	R125	283.0	283.0	50000.0	2304.63482947238	83.65089417383524
Bhathia_01	R125	283.0	283.0	50000.0	2385.479950138839	83.08949786661206
Bhathia_01	R125	283.0	283.0	50000.0	2469.161066101381	82.56941974278193
Bhathia_01	R125	283.0	283.0	50000.0	2555.7776622671126	82.03401014806373
Bhathia_01	R125	283.0	283.0	50000.0	2645.43271341026	81.48030039104641
Bhathia_01	R125	283.0	283.0	50000.0	2738.2328065944866	80.90926482372025
Bhathia_01	R125	283.0	283.0	50000.0	2834.2882678897013	80.31928401338682
Bhathia_01	R125	283.0	283.0	50000.0	2933.7132935340187	79.7091513565992
Bhathia_01	R125	283.0	283.0	50000.0	3036.6260856967806	79.1294660752562
Bhathia_01	R125	283.0	283.0	50000.0	3143.1489930040857	78.55411026933344
Bhathia_01	R125	283.0	283.0	50000.0	3253.4086559938396	77.9597112405063
Bhathia_01	R125	283.0	283.0	50000.0	3367.536157673288	77.34498189249183
Bhathia_01	R125	283.0	283.0	50000.0	3485.667179358007	76.70995633003578
Bhathia_01	R125	283.0	283.0	50000.0	3607.9421619776303	76.05422817281595
Bhathia_01	R125	283.0	283.0	50000.0	3734.506473040075	75.4578185825951
Bhathia_01	R125	283.0	283.0	50000.0	3865.5105794527676	74.8482676978021
Bhathia_01	R125	283.0	283.0	50000.0	4001.1102264063275	74.21865380051061
Bhathia_01	R125	283.0	283.0	50000.0	4141.466622533378	73.56823343136581
Bhathia_01	R125	283.0	283.0	50000.0	4286.746631562607	72.89654944937246
Bhathia_01	R125	283.0	283.0	50000.0	4437.122970695934	72.2382740476668
Bhathia_01	R125	283.0	283.0	50000.0	4592.774415944617	71.59958584840187
Bhathia_01	R125	283.0	283.0	50000.0	4753.8860146684265	70.9398589536384
Bhathia_01	R125	283.0	283.0	50000.0	4920.649305570547	70.25842288756012
Bhathia_01	R125	283.0	283.0	50000.0	5093.26254640977	69.55477020833226
Bhathia_01	R125	283.0	283.0	50000.0	5271.9309497006825	68.8526030645011
Bhathia_01	R125	283.0	283.0	50000.0	5456.8669266820625	68.17149817887295
Bhathia_01	R125	283.0	283.0	50000.0	5648.290339843539	67.46798521698749
Bhathia_01	R125	283.0	283.0	50000.0	5846.4287643107255	66.74133175079976
Bhathia_01	R125	283.0	283.0	50000.0	6051.517758399548	65.99089339133236
Bhathia_01	R125	283.0	283.0	50000.0	6263.801143661515	65.25380334757293
Bhathia_01	R125	283.0	283.0	50000.0	6483.531294752719	64.51693235264551
Bhathia_01	R125	283.0	283.0	50000.0	6710.9694394713115	63.75572824476146
Bhathia_01	R125	283.0	283.0	50000.0	6946.385969320071	62.96944130695666
Bhathia_01	R125	283.0	283.0	50000.0	7190.06076096333	62.16884519747372
Bhathia_01	R125	283.0	283.0	50000.0	7442.283508960394	61.387625491928965
Bhathia_01	R125	283.0	283.0	50000.0	7703.354070171016	60.58042389857759
Bhathia_01	R125	283.0	283.0	50000.0	7973.582820242459	59.74646322921851
Bhathia_01	R125	283.0	283.0	50000.0	8253.291022601827	58.890882697082716
Bhathia_01	R125	283.0	283.0	50000.0	8542.811210392447	58.05388127229825
Bhathia_01	R125	283.0	283.0	50000.0	8842.487581808335	57.188896911799766
Bhathia_01	R125	283.0	283.0	50000.0	9152.676409296731	56.295005603747185
Bhathia_01	R125	283.0	283.0	50000.0	9473.746463115214	55.386949384046225
Bhathia_01	R125	283.0	283.0	50000.0	9806.07944974691	54.48273383918221
Bhathia_01	R125	283.0	283.0	50000.0	10150.070465695051	53.54781823566262
Bhathia_01	R125	283.0	283.0	50000.0	10506.128467196331	52.581680392111
Bhathia_01	R125	283.0	283.0	50000.0	10874.676756411529	51.62728784674058
Bhathia_01	R125	283.0	283.0	50000.0	11256.153484671382	50.65300798337956
Bhathia_01	R125	283.0	283.0	50000.0	11651.012173375993	49.64555874291488
Bhathia_01	R125	283.0	283.0	50000.0	12059.722253167078	48.633547564147484
Bhathia_01	R125	283.0	283.0	50000.0	12482.769622014002	47.62359801602904
Bhathia_01	R125	283.0	283.0	50000.0	12920.657222877158	46.57900222691636
Bhathia_01	R125	283.0	283.0	50000.0	13373.905641635398	45.51875206167464
Bhathia_01	R125	283.0	283.0	50000.0	13843.053725988231	44.4757486810612
Bhathia_01	R125	283.0	283.0	50000.0	14328.65922606916	43.396791388155904
Bhathia_01	R125	283.0	283.0	50000.0	14831.299457530586	42.29799271587767
Bhathia_01	R125	283.0	283.0	50000.0	15351.571987890213	41.22387076531671
Bhathia_01	R125	283.0	283.0	50000.0	15890.095346953078	40.112573996900544
Bhathia_01	R125	283.0	283.0	50000.0	16447.509762155743	38.98446851075514
Bhathia_01	R125	283.0	283.0	50000.0	17024.47791970484	37.880461328319036
Bhathia_01	R125	283.0	283.0	50000.0	17621.68575241697	36.73813717364621
Bhathia_01	R125	283.0	283.0	50000.0	18239.84325519438	35.588691035408395
Bhathia_01	R125	283.0	283.0	50000.0	18879.685329108175	34.45517265298114
Bhathia_01	R125	283.0	283.0	50000.0	19541.972655090256	33.28219690147839
Bhathia_01	R125	283.0	283.0	50000.0	20227.49259827501	32.11805440859682
Bhathia_01	R125	283.0	283.0	50000.0	20937.060144063526	30.95470904675181
Bhathia_01	R125	283.0	283.0	50000.0	21671.518867025392	29.75070483694148
Bhathia_01	R125	283.0	283.0	50000.0	22431.741933788304	28.57711591467866
Bhathia_01	R125	283.0	283.0	50000.0	23218.633141108625	27.382899248858028
Bhathia_01	R125	283.0	283.0	50000.0	24033.127990356785	26.152732540684234
Bhathia_01	R125	283.0	283.0	50000.0	24876.194799694935	24.96777272738821
Bhathia_01	R125	283.0	283.0	50000.0	25748.835855269062	23.741154477479995
