framework	molecule	T_ads_K	T_des_K	P_ads_Pa	P_des_Pa	SD
Bhathia_01	R125	283.0	303.0	50000.0	167.72768206135862	0.10246935775370347
Bhathia_01	R125	283.0	303.0	50000.0	173.6114622255508	0.24478104412537374
Bhathia_01	R125	283.0	303.0	50000.0	179.70164164712898	0.3919400635007643
Bhathia_01	R125	283.0	303.0	50000.0	186.00546068046754	0.5441061150489259
Bhathia_01	R125	283.0	303.0	50000.0	192.53041366695666	0.7014437617629107
Bhathia_01	R125	283.0	303.0	50000.0	199.28425784470534	0.8641225483714141
Bhathia_01	R125	283.0	303.0	50000.0	206.27502257078967	1.0323171196238465
Bhathia_01	R125	283.0	303.0	50000.0	213.51101886701414	1.2062073386934011
Bhathia_01	R125	283.0	303.0	50000.0	221.00084930052978	1.3859784054143451
Bhathia_01	R125	283.0	303.0	50000.0	228.7534182110594	1.5718209740394635
Bhathia_01	R125	283.0	303.0	50000.0	236.77794229688686	1.7639312701704006
Bhathia_01	R125	283.0	303.0	50000.0	245.08396157219659	1.9625112064779935
Bhathia_01	R125	283.0	303.0	50000.0	253.68135070878884	2.1677684967908957
Bhathia_01	R125	283.0	303.0	50000.0	262.58033077565597	2.3799167680890045
Bhathia_01	R125	283.0	303.0	50000.0	271.7914813903746	2.5991756698928694
Bhathia_01	R125	283.0	303.0	50000.0	281.32575329676206	2.825770980491432
Bhathia_01	R125	283.0	303.0	50000.0	291.1944813837476	3.059934709397442
Bhathia_01	R125	283.0	303.0	50000.0	301.4093981609385	3.3019051953630068
Bhathia_01	R125	283.0	303.0	50000.0	311.9826477069	3.5519271992258807
Bhathia_01	R125	283.0	303.0	50000.0	322.92680010673166	3.8102519907907397
Bhathia_01	R125	283.0	303.0	50000.0	334.2548663961052	4.047432825598427
Bhathia_01	R125	283.0	303.0	50000.0	345.9803140295299	4.2727071102237675
Bhathia_01	R125	283.0	303.0	50000.0	358.11708289123294	4.505640326931569
Bhathia_01	R125	283.0	303.0	50000.0	370.67960186769494	4.746479798909062
Bhathia_01	R125	283.0	303.0	50000.0	383.6828060015357	4.995485879373489
Bhathia_01	R125	283.0	303.0	50000.0	397.1421542471496	5.252925427617007
Bhathia_01	R125	283.0	303.0	50000.0	411.0736478491962	5.5190717039397645
Bhathia_01	R125	283.0	303.0	50000.0	425.49384936579753	5.794204223746016
Bhathia_01	R125	283.0	303.0	50000.0	440.41990235905604	5.998441225083572
