framework	molecule	T_ads_K	T_des_K	P_ads_Pa	P_des_Pa	SD
Bhathia_01	R125	283.0	303.0	50000.0	167.72768206135862	0.1005773181476035
Bhathia_01	R125	283.0	303.0	50000.0	173.6114622255508	0.2403257327490952
Bhathia_01	R125	283.0	303.0	50000.0	179.70164164712898	0.3849131752407098
Bhathia_01	R125	283.0	303.0	50000.0	186.00546068046754	0.5345048797348483
Bhathia_01	R125	283.0	303.0	50000.0	192.53041366695666	0.6892715542642736
Bhathia_01	R125	283.0	303.0	50000.0	199.28425784470534	0.8493895497887802
Bhathia_01	R125	283.0	303.0	50000.0	206.27502257078967	1.0150411526877041
Bhathia_01	R125	283.0	303.0	50000.0	213.51101886701414	1.1864146933141733
Bhathia_01	R125	283.0	303.0	50000.0	221.00084930052978	1.3637045393681722
Bhathia_01	R125	283.0	303.0	50000.0	228.7534182110594	1.5471114240009782
Bhathia_01	R125	283.0	303.0	50000.0	236.77794229688686	1.7368426373327053
Bhathia_01	R125	283.0	303.0	50000.0	245.08396157219659	1.9331124484773854
Bhathia_01	R125	283.0	303.0	50000.0	253.68135070878884	2.136142038708102
Bhathia_01	R125	283.0	303.0	50000.0	262.58033077565597	2.346159592859398
Bhathia_01	R125	283.0	303.0	50000.0	271.7914813903746	2.563400673021115
Bhathia_01	R125	283.0	303.0	50000.0	281.32575329676206	2.788108653251203
Bhathia_01	R125	283.0	303.0	50000.0	291.1944813837476	3.0205348003751915
Bhathia_01	R125	283.0	303.0	50000.0	301.4093981609385	3.260938121180951
Bhathia_01	R125	283.0	303.0	50000.0	311.9826477069	3.509585904603643
Bhathia_01	R125	283.0	303.0	50000.0	322.92680010673166	3.7667544395943833
Bhathia_01	R125	283.0	303.0	50000.0	334.2548663961052	4.003086566597423
Bhathia_01	R125	283.0	303.0	50000.0	345.9803140295299	4.227648515598371
Bhathia_01	R125	283.0	303.0	50000.0	358.11708289123294	4.459923045954234
Bhathia_01	R125	283.0	303.0	50000.0	370.67960186769494	4.700169365380493
Bhathia_01	R125	283.0	303.0	50000.0	383.6828060015357	4.948654549976689
Bhathia_01	R125	283.0	303.0	50000.0	397.1421542471496	5.205654168177364
Bhathia_01	R125	283.0	303.0	50000.0	411.0736478491962	5.471453103017893
Bhathia_01	R125	283.0	303.0	50000.0	425.49384936579753	5.746344775183215
Bhathia_01	R125	283.0	303.0	50000.0	440.41990235905604	5.951936905409168
Bhathia_01	R125	283.0	303.0	50000.0	455.86955177630426	6.105014304086494
Bhathia_01	R125	283.0	303.0	50000.0	471.8611650463152	6.263242593189333
Bhathia_01	R125	283.0	303.0	50000.0	488.41375391555476	6.426786876177752
Bhathia_01	R125	283.0	303.0	50000.0	505.546997050434	6.5958179181337515
Bhathia_01	R125	283.0	303.0	50000.0	523.2812634324383	6.7705105283071285
Bhathia_01	R125	283.0	303.0	50000.0	541.6376365739385	6.90790263675792
Bhathia_01	R125	283.0	303.0	50000.0	560.6379395834789	7.033715611149493
