framework	molecule	T_ads_K	T_des_K	P_ads_Pa	P_des_Pa	SD
Bhathia_01	R125	333.0	283.0	1000000.0	1000.0	131.10839490613463
Bhathia_01	R125	333.0	303.0	1000000.0	1000.0	140.58538160331722
Bhathia_01	R125	333.0	333.0	1000000.0	1000.0	145.53430287117652
Bhathia_01	R125	333.0	353.0	1000000.0	1000.0	145.53430287117652
Bhathia_01	R125	353.0	283.0	1000000.0	1000.0	112.8768463126032
Bhathia_01	R125	353.0	303.0	1000000.0	1000.0	122.35207037385942
Bhathia_01	R125	353.0	333.0	1000000.0	1000.0	127.30367741136902
Bhathia_01	R125	353.0	353.0	1000000.0	1000.0	127.30367741136902
Bhathia_01	R125	283.0	283.0	1000000.0	1000.0	136.44903140873416
Bhathia_01	R125	283.0	303.0	1000000.0	1000.0	145.12915148592248
Bhathia_01	R125	283.0	333.0	1000000.0	1000.0	149.98783065395102
Bhathia_01	R125	283.0	353.0	1000000.0	1000.0	149.98783065395102
Bhathia_01	R125	303.0	283.0	1000000.0	1000.0	136.44903140873416
Bhathia_01	R125	303.0	303.0	1000000.0	1000.0	145.12915148592248
Bhathia_01	R125	303.0	333.0	1000000.0	1000.0	149.98783065395102
Bhathia_01	R125	303.0	353.0	1000000.0	1000.0	149.98783065395102
Bhathia_01	R125	333.0	283.0	1000000.0	1000.0	130.73251852621746
Bhathia_01	R125	333.0	303.0	1000000.0	1000.0	139.41185196137943
Bhathia_01	R125	333.0	333.0	1000000.0	1000.0	144.26920400152997
Bhathia_01	R125	333.0	353.0	1000000.0	1000.0	144.26920400152997
Bhathia_01	R125	353.0	283.0	1000000.0	1000.0	113.60209445244269
Bhathia_01	R125	353.0	303.0	1000000.0	1000.0	122.28260111554724
Bhathia_01	R125	353.0	333.0	1000000.0	1000.0	127.1277609469338
Bhathia_01	R125	353.0	353.0	1000000.0	1000.0	127.1277609469338
