framework	molecule	T_ads_K	T_des_K	P_ads_Pa	P_des_Pa	SD
Bhathia_01	R125	333.0	283.0	1000000.0	1000.0	131.30719911160995
Bhathia_01	R125	333.0	303.0	1000000.0	1000.0	140.82041712340722
Bhathia_01	R125	333.0	333.0	1000000.0	1000.0	145.7269799358134
Bhathia_01	R125	333.0	353.0	1000000.0	1000.0	145.7269799358134
Bhathia_01	R125	353.0	283.0	1000000.0	1000.0	112.91336116111077
Bhathia_01	R125	353.0	303.0	1000000.0	1000.0	122.4263291124046
Bhathia_01	R125	353.0	333.0	1000000.0	1000.0	127.33277158257737
Bhathia_01	R125	353.0	353.0	1000000.0	1000.0	127.33277158257737
Bhathia_01	R125	283.0	283.0	1000000.0	1000.0	136.8065153641496
Bhathia_01	R125	283.0	303.0	1000000.0	1000.0	145.5813145241695
Bhathia_01	R125	283.0	333.0	1000000.0	1000.0	150.30117262982577
Bhathia_01	R125	283.0	353.0	1000000.0	1000.0	150.30117262982577
Bhathia_01	R125	303.0	283.0	1000000.0	1000.0	136.8065153641496
Bhathia_01	R125	303.0	303.0	1000000.0	1000.0	145.5813145241695
Bhathia_01	R125	303.0	333.0	1000000.0	1000.0	150.30117262982577
Bhathia_01	R125	303.0	353.0	1000000.0	1000.0	150.30117262982577
Bhathia_01	R125	333.0	283.0	1000000.0	1000.0	131.12529171473682
Bhathia_01	R125	333.0	303.0	1000000.0	1000.0	139.9000077398196
Bhathia_01	R125	333.0	333.0	1000000.0	1000.0	144.61981517943798
Bhathia_01	R125	333.0	353.0	1000000.0	1000.0	144.61981517943798
Bhathia_01	R125	353.0	283.0	1000000.0	1000.0	113.75638606819838
Bhathia_01	R125	353.0	303.0	1000000.0	1000.0	122.53085083346814
Bhathia_01	R125	353.0	333.0	1000000.0	1000.0	127.25051352393193
Bhathia_01	R125	353.0	353.0	1000000.0	1000.0	127.25051352393193
