framework	molecule	temperature_K	pressure_Pa	loading_mol_per_kg
Bhathia_01	R125	283.0	1.0	0.001220036
Bhathia_01	R125	283.0	1.3557704	0.001507749
Bhathia_01	R125	283.0	1.838113379	0.001863131
Bhathia_01	R125	283.0	2.492059712	0.002302029
Bhathia_01	R125	283.0	3.378660794	0.002843976
Bhathia_01	R125	283.0	4.580688297	0.00351303
Bhathia_01	R125	283.0	6.210361607	0.004338813
Bhathia_01	R125	283.0	8.419824443	0.005357765
Bhathia_01	R125	283.0	11.41534876	0.006614685
Bhathia_01	R125	283.0	15.47659196	0.008164589
Bhathia_01	R125	283.0	20.98270528	0.010074969
Bhathia_01	R125	283.0	28.44773074	0.012428503
Bhathia_01	R125	283.0	38.56859129	0.015326321
Bhathia_01	R125	283.0	52.29015446	0.018891877
Bhathia_01	R125	283.0	70.89344366	0.023275545
Bhathia_01	R125	283.0	96.1152325	0.028659993
Bhathia_01	R125	283.0	130.3101873	0.035266418
Bhathia_01	R125	283.0	176.6706948	0.043361661
Bhathia_01	R125	283.0	239.5248986	0.053266189
Bhathia_01	R125	283.0	324.7407677	0.065362836
Bhathia_01	R125	283.0	440.2739207	0.080106062
Bhathia_01	R125	283.0	596.9103498	0.098031311
Bhathia_01	R125	283.0	809.273384	0.119763738
Bhathia_01	R125	283.0	1097.1889	0.146025177
Bhathia_01	R125	283.0	1487.536234	0.177637526
Bhathia_01	R125	283.0	2016.757596	0.215519728
Bhathia_01	R125	283.0	2734.260254	0.260673908
Bhathia_01	R125	283.0	3707.029119	0.314154051
Bhathia_01	R125	283.0	5025.880354	0.377008013
Bhathia_01	R125	283.0	6813.93982	0.45018211
Bhathia_01	R125	283.0	9238.137919	0.534379615
Bhathia_01	R125	283.0	12524.79395	0.629873249
Bhathia_01	R125	283.0	16980.7449	0.736286369
Bhathia_01	R125	283.0	23021.99132	0.85236838
Bhathia_01	R125	283.0	31212.53439	0.975786309
Bhathia_01	R125	283.0	42317.03025	1.102954495
Bhathia_01	R125	283.0	57372.17705	1.228986909
Bhathia_01	R125	283.0	77783.49946	1.347978883
Bhathia_01	R125	283.0	105456.5662	1.45381102
Bhathia_01	R125	283.0	142974.891	1.541333139
Bhathia_01	R125	283.0	193841.1252	1.60738163
Bhathia_01	R125	283.0	262804.06	1.651106521
Bhathia_01	R125	283.0	356301.9657	1.67355707
Bhathia_01	R125	283.0	483063.6587	1.67689713
Bhathia_01	R125	283.0	654923.4101	1.663664765
Bhathia_01	R125	283.0	887925.7739	1.636284027
Bhathia_01	R125	283.0	1203823.482	1.596836932
Bhathia_01	R125	283.0	1632108.245	1.547015494
Bhathia_01	R125	283.0	2212764.048	1.488169866
Bhathia_01	R125	283.0	3000000.0	1.42
Bhathia_01	R125	303.0	1.0	0.000697299
Bhathia_01	R125	303.0	1.02961624	0.000711643
Bhathia_01	R125	303.0	1.060109602	0.000726282
Bhathia_01	R125	303.0	1.091506062	0.000741222
Bhathia_01	R125	303.0	1.123832368	0.00075647
Bhathia_01	R125	303.0	1.157116057	0.000772031
Bhathia_01	R125	303.0	1.191385484	0.000787912
Bhathia_01	R125	303.0	1.226669843	0.00080412
Bhathia_01	R125	303.0	1.262999191	0.000820662
Bhathia_01	R125	303.0	1.300404479	0.000837544
Bhathia_01	R125	303.0	1.33891757	0.000854773
Bhathia_01	R125	303.0	1.378571274	0.000872356
Bhathia_01	R125	303.0	1.419399372	0.000890301
Bhathia_01	R125	303.0	1.461436645	0.000908616
Bhathia_01	R125	303.0	1.504718903	0.000927307
Bhathia_01	R125	303.0	1.549283019	0.000946382
Bhathia_01	R125	303.0	1.595166957	0.00096585
Bhathia_01	R125	303.0	1.642409805	0.000985719
Bhathia_01	R125	303.0	1.691051808	0.001005996
Bhathia_01	R125	303.0	1.741134404	0.00102669
Bhathia_01	R125	303.0	1.792700259	0.00104781
Bhathia_01	R125	303.0	1.8457933	0.001069364
Bhathia_01	R125	303.0	1.900458758	0.001091362
Bhathia_01	R125	303.0	1.956743201	0.001113812
Bhathia_01	R125	303.0	2.014694577	0.001136725
Bhathia_01	R125	303.0	2.074362255	0.001160108
Bhathia_01	R125	303.0	2.135797066	0.001183972
Bhathia_01	R125	303.0	2.199051345	0.001208327
Bhathia_01	R125	303.0	2.264178977	0.001233184
Bhathia_01	R125	303.0	2.331235445	0.001258551
Bhathia_01	R125	303.0	2.400277874	0.00128444
Bhathia_01	R125	303.0	2.47136508	0.001310862
Bhathia_01	R125	303.0	2.544557622	0.001337827
Bhathia_01	R125	303.0	2.619917851	0.001365347
Bhathia_01	R125	303.0	2.697509967	0.001393433
Bhathia_01	R125	303.0	2.77740007	0.001422096
Bhathia_01	R125	303.0	2.859656217	0.001451349
Bhathia_01	R125	303.0	2.944348482	0.001481204
Bhathia_01	R125	303.0	3.031549014	0.001511673
Bhathia_01	R125	303.0	3.121332097	0.001542768
Bhathia_01	R125	303.0	3.213774218	0.001574503
Bhathia_01	R125	303.0	3.308954127	0.001606891
Bhathia_01	R125	303.0	3.406952907	0.001639944
Bhathia_01	R125	303.0	3.507854042	0.001673677
Bhathia_01	R125	303.0	3.61174349	0.001708105
Bhathia_01	R125	303.0	3.718709752	0.00174324
Bhathia_01	R125	303.0	3.828843953	0.001779097
Bhathia_01	R125	303.0	3.942239915	0.001815692
Bhathia_01	R125	303.0	4.058994239	0.00185304
Bhathia_01	R125	303.0	4.179206387	0.001891155
Bhathia_01	R125	303.0	4.302978766	0.001930054
Bhathia_01	R125	303.0	4.430416819	0.001969753
Bhathia_01	R125	303.0	4.561629107	0.002010269
Bhathia_01	R125	303.0	4.69672741	0.002051617
Bhathia_01	R125	303.0	4.835826816	0.002093816
Bhathia_01	R125	303.0	4.979045824	0.002136882
Bhathia_01	R125	303.0	5.126506441	0.002180834
Bhathia_01	R125	303.0	5.278334287	0.002225689
Bhathia_01	R125	303.0	5.434658702	0.002271466
Bhathia_01	R125	303.0	5.595612859	0.002318185
Bhathia_01	R125	303.0	5.761333873	0.002365864
Bhathia_01	R125	303.0	5.93196292	0.002414523
Bhathia_01	R125	303.0	6.107645358	0.002464183
Bhathia_01	R125	303.0	6.28853085	0.002514863
Bhathia_01	R125	303.0	6.474773489	0.002566585
Bhathia_01	R125	303.0	6.666531936	0.00261937
Bhathia_01	R125	303.0	6.863969546	0.00267324
Bhathia_01	R125	303.0	7.067254516	0.002728217
Bhathia_01	R125	303.0	7.276560023	0.002784324
Bhathia_01	R125	303.0	7.492064371	0.002841585
Bhathia_01	R125	303.0	7.713951149	0.002900022
Bhathia_01	R125	303.0	7.942409378	0.00295966
Bhathia_01	R125	303.0	8.177633681	0.003020523
Bhathia_01	R125	303.0	8.419824443	0.003082637
Bhathia_01	R125	303.0	8.669187986	0.003146028
Bhathia_01	R125	303.0	8.925936739	0.003210721
Bhathia_01	R125	303.0	9.190289424	0.003276743
Bhathia_01	R125	303.0	9.462471242	0.003344121
