framework	molecule	T_ads_K	T_des_K	P_ads_Pa	P_des_Pa	SD
Bhathia_01	R407F	283.0	283.0	100000.0	100.0	133.37641931986735
Bhathia_01	R407F	283.0	283.0	100000.0	103.5079362523115	133.37641931986735
Bhathia_01	R407F	283.0	283.0	100000.0	107.13892867212581	133.37641931986735
Bhathia_01	R407F	283.0	283.0	100000.0	110.89729399135348	133.37641931986735
Bhathia_01	R407F	283.0	283.0	100000.0	114.78750037010863	133.37641931986735
Bhathia_01	R407F	283.0	283.0	100000.0	118.81417270871387	133.37641931986735
Bhathia_01	R407F	283.0	283.0	100000.0	122.98209814604685	133.37641931986735
Bhathia_01	R407F	283.0	283.0	100000.0	127.29623175076546	133.37641931986735
Bhathia_01	R407F	283.0	283.0	100000.0	131.76170241217702	133.34909255397866
Bhathia_01	R407F	283.0	283.0	100000.0	136.3838189377566	133.26208972097976
Bhathia_01	R407F	283.0	283.0	100000.0	141.16807636456102	133.17205537677728
Bhathia_01	R407F	283.0	283.0	100000.0	146.12016249204424	133.07888494979585
Bhathia_01	R407F	283.0	283.0	100000.0	151.24596464403913	132.9824762632864
Bhathia_01	R407F	283.0	283.0	100000.0	156.55157666794562	132.88292698985114
Bhathia_01	R407F	283.0	283.0	100000.0	162.04330617944572	132.78025363500674
Bhathia_01	R407F	283.0	283.0	100000.0	167.72768206135862	132.67400516244126
Bhathia_01	R407F	283.0	283.0	100000.0	173.6114622255508	132.56405805812463
Bhathia_01	R407F	283.0	283.0	100000.0	179.70164164712898	132.4568988077247
Bhathia_01	R407F	283.0	283.0	100000.0	186.00546068046754	132.35245932520218
Bhathia_01	R407F	283.0	283.0	100000.0	192.53041366695666	132.24399004977462
Bhathia_01	R407F	283.0	283.0	100000.0	199.28425784470534	132.13177660250415
Bhathia_01	R407F	283.0	283.0	100000.0	206.27502257078967	132.01566096103204
Bhathia_01	R407F	283.0	283.0	100000.0	213.51101886701414	131.89550896467188
Bhathia_01	R407F	283.0	283.0	100000.0	221.00084930052978	131.77134130966905
Bhathia_01	R407F	283.0	283.0	100000.0	228.7534182110594	131.6431220674038
Bhathia_01	R407F	283.0	283.0	100000.0	236.77794229688686	131.51048381558996
