framework	molecule	T_ads_K	T_des_K	P_ads_Pa	P_des_Pa	SD
Bhathia_01	R407F	283.0	283.0	1000000.0	1000.0	160.3571317858991
Bhathia_01	R407F	283.0	303.0	1000000.0	1000.0	167.00860062478134
Bhathia_01	R407F	283.0	333.0	1000000.0	1000.0	170.27432758082858
Bhathia_01	R407F	283.0	353.0	1000000.0	1000.0	170.27432758082858
Bhathia_01	R407F	303.0	283.0	1000000.0	1000.0	160.3571317858991
Bhathia_01	R407F	303.0	303.0	1000000.0	1000.0	167.00860062478134
Bhathia_01	R407F	303.0	333.0	1000000.0	1000.0	170.27432758082858
Bhathia_01	R407F	303.0	353.0	1000000.0	1000.0	170.27432758082858
Bhathia_01	R407F	333.0	283.0	1000000.0	1000.0	143.03524288789896
Bhathia_01	R407F	333.0	303.0	1000000.0	1000.0	149.68557574927175
Bhathia_01	R407F	333.0	333.0	1000000.0	1000.0	152.96942707366415
Bhathia_01	R407F	333.0	353.0	1000000.0	1000.0	152.96942707366415
Bhathia_01	R407F	353.0	283.0	1000000.0	1000.0	120.55707348131651
Bhathia_01	R407F	353.0	303.0	1000000.0	1000.0	127.20458476907471
Bhathia_01	R407F	353.0	333.0	1000000.0	1000.0	130.48611645956132
Bhathia_01	R407F	353.0	353.0	1000000.0	1000.0	130.48611645956132
