framework	molecule	T_ads_K	T_des_K	P_ads_Pa	P_des_Pa	SD
Bhathia_01	R407F	283.0	303.0	100000.0	100.0	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	103.5079362523115	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	107.13892867212581	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	110.89729399135348	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	114.78750037010863	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	118.81417270871387	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	122.98209814604685	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	127.29623175076546	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	131.76170241217702	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	136.3838189377566	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	141.16807636456102	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	146.12016249204424	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	151.24596464403913	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	156.55157666794562	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	162.04330617944572	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	167.72768206135862	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	173.6114622255508	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	179.70164164712898	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	186.00546068046754	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	192.53041366695666	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	199.28425784470534	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	206.27502257078967	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	213.51101886701414	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	221.00084930052978	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	228.7534182110594	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	236.77794229688686	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	245.08396157219659	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	253.68135070878884	125.21454236102329
Bhathia_01	R407F	283.0	303.0	100000.0	262.58033077565597	125.21329300135838
Bhathia_01	R407F	283.0	303.0	100000.0	271.7914813903746	125.21130644639237
Bhathia_01	R407F	283.0	303.0	100000.0	281.32575329676206	125.20888157872034
Bhathia_01	R407F	283.0	303.0	100000.0	291.1944813837476	125.17500961423937
Bhathia_01	R407F	283.0	303.0	100000.0	301.4093981609385	125.14031923967222
Bhathia_01	R407F	283.0	303.0	100000.0	311.9826477069	125.10479121985709
Bhathia_01	R407F	283.0	303.0	100000.0	322.92680010673166	125.06840594124593
Bhathia_01	R407F	283.0	303.0	100000.0	334.2548663961052	125.03118109878659
Bhathia_01	R407F	283.0	303.0	100000.0	345.9803140295299	124.99307452963893
Bhathia_01	R407F	283.0	303.0	100000.0	358.11708289123294	124.95405173508104
Bhathia_01	R407F	283.0	303.0	100000.0	370.67960186769494	124.91409140841924
Bhathia_01	R407F	283.0	303.0	100000.0	383.6828060015357	124.87317178898778
Bhathia_01	R407F	283.0	303.0	100000.0	397.1421542471496	124.83128325835037
Bhathia_01	R407F	283.0	303.0	100000.0	411.0736478491962	124.78843845675217
Bhathia_01	R407F	283.0	303.0	100000.0	425.49384936579753	124.74456925210735
Bhathia_01	R407F	283.0	303.0	100000.0	440.41990235905604	124.69965211210335
Bhathia_01	R407F	283.0	303.0	100000.0	455.86955177630426	124.65366301537628
Bhathia_01	R407F	283.0	303.0	100000.0	471.8611650463152	124.60657745155738
Bhathia_01	R407F	283.0	303.0	100000.0	488.41375391555476	124.55841820431594
Bhathia_01	R407F	283.0	303.0	100000.0	505.546997050434	124.50931414730115
Bhathia_01	R407F	283.0	303.0	100000.0	523.2812634324383	124.45908403904626
Bhathia_01	R407F	283.0	303.0	100000.0	541.6376365739385	124.40766545491843
Bhathia_01	R407F	283.0	303.0	100000.0	560.6379395834789	124.35503171039913
Bhathia_01	R407F	283.0	303.0	100000.0	580.30476111034	124.28191262966489
Bhathia_01	R407F	283.0	303.0	100000.0	600.6614821992193	124.14865847518023
Bhathia_01	R407F	283.0	303.0	100000.0	621.7323040869574	124.01432139106336
Bhathia_01	R407F	283.0	303.0	100000.0	643.5422769743552	123.87768736319572
Bhathia_01	R407F	283.0	303.0	100000.0	666.1173298072896	123.7385286795795
Bhathia_01	R407F	283.0	303.0	100000.0	689.4843011025289	123.59677089095652
Bhathia_01	R407F	283.0	303.0	100000.0	713.670970854901	123.45217909194601
Bhathia_01	R407F	283.0	303.0	100000.0	738.7060935637436	123.30441048189905
Bhathia_01	R407F	283.0	303.0	100000.0	764.6194324179003	123.15344874577849
Bhathia_01	R407F	283.0	303.0	100000.0	791.4417946799063	122.99920301738464
Bhathia_01	R407F	283.0	303.0	100000.0	819.2050683114275	122.84159803471796
Bhathia_01	R407F	283.0	303.0	100000.0	847.9422598834972	122.68057242449413
Bhathia_01	R407F	283.0	303.0	100000.0	877.6875338166207	122.51620544895967
Bhathia_01	R407F	283.0	303.0	100000.0	908.4762529973926	122.34820776223437
Bhathia_01	R407F	283.0	303.0	100000.0	940.3450208199293	122.17692781546855
Bhathia_01	R407F	283.0	303.0	100000.0	973.3317247020778	122.00236626434811
Bhathia_01	R407F	283.0	303.0	100000.0	1007.4755811281508	121.82409922073666
Bhathia_01	R407F	283.0	303.0	100000.0	1042.817182271731	121.64201296731191
Bhathia_01	R407F	283.0	303.0	100000.0	1079.3985442539745	121.45608429470131
Bhathia_01	R407F	283.0	303.0	100000.0	1117.2631570947824	121.26615153510237
Bhathia_01	R407F	283.0	303.0	100000.0	1156.4560364162314	121.0719266493319
Bhathia_01	R407F	283.0	303.0	100000.0	1197.023776959721	120.8734432019038
Bhathia_01	R407F	283.0	303.0	100000.0	1239.0146079804795	120.670536867687
Bhathia_01	R407F	283.0	303.0	100000.0	1282.478450585262	120.46469977838669
Bhathia_01	R407F	283.0	303.0	100000.0	1327.4669770814253	120.2558293979404
Bhathia_01	R407F	283.0	303.0	100000.0	1374.0336724079282	120.0435360055647
Bhathia_01	R407F	283.0	303.0	100000.0	1422.2338977212928	119.82759826123356
Bhathia_01	R407F	283.0	303.0	100000.0	1472.124956212121	119.6076310930016
Bhathia_01	R407F	283.0	303.0	100000.0	1523.766161230411	119.38355348513997
Bhathia_01	R407F	283.0	303.0	100000.0	1577.2189068006678	119.15500272300471
Bhathia_01	R407F	283.0	303.0	100000.0	1632.5467406106395	118.92177816493745
Bhathia_01	R407F	283.0	303.0	100000.0	1689.81543956045	118.68358895225124
Bhathia_01	R407F	283.0	303.0	100000.0	1749.093087961948	118.44059576467959
Bhathia_01	R407F	283.0	303.0	100000.0	1810.45015848124	118.19247543519093
Bhathia_01	R407F	283.0	303.0	100000.0	1873.9595959206342	117.93977237622528
Bhathia_01	R407F	283.0	303.0	100000.0	1939.6969039396042	117.68205096714081
Bhathia_01	R407F	283.0	303.0	100000.0	2007.7402348178655	117.41882115501778
Bhathia_01	R407F	283.0	303.0	100000.0	2078.1704823672853	117.15016194663282
Bhathia_01	R407F	283.0	303.0	100000.0	2151.0713781030845	116.87676460587748
Bhathia_01	R407F	283.0	303.0	100000.0	2226.529590788659	116.59889994870211
Bhathia_01	R407F	283.0	303.0	100000.0	2304.63482947238	116.31638278720406
Bhathia_01	R407F	283.0	303.0	100000.0	2385.479950138839	116.02884362465903
Bhathia_01	R407F	283.0	303.0	100000.0	2469.161066101381	115.73592720541376
Bhathia_01	R407F	283.0	303.0	100000.0	2555.7776622671126	115.43828174619779
