framework	molecule	temperature_K	loading_mol_per_kg	Qst_kJmol
Bhathia_01	R407F	283.0	0.44472443963265307	35.08022174250337
Bhathia_01	R407F	283.0	0.6069605254489796	34.622932027068266
Bhathia_01	R407F	283.0	0.7691966112653061	33.92687965216011
Bhathia_01	R407F	283.0	0.9314326970816327	33.2207805181091
Bhathia_01	R407F	283.0	1.0936687828979592	32.60886070388259
Bhathia_01	R407F	283.0	1.2559048687142857	32.09968384205201
Bhathia_01	R407F	283.0	1.4181409545306123	31.672935895295346
Bhathia_01	R407F	283.0	1.5803770403469388	31.30954664837482
Bhathia_01	R407F	283.0	1.7426131261632654	30.996359381773228
Bhathia_01	R407F	283.0	1.904849211979592	30.724772056815006
Bhathia_01	R407F	283.0	2.067085297795918	30.489158918419015
Bhathia_01	R407F	283.0	2.2293213836122447	30.285325732648822
Bhathia_01	R407F	283.0	2.3915574694285713	30.10915297940849
Bhathia_01	R407F	283.0	2.553793555244898	29.95613881941248
Bhathia_01	R407F	283.0	2.7160296410612244	29.821979264708155
Bhathia_01	R407F	283.0	2.878265726877551	29.70321271548287
Bhathia_01	R407F	283.0	3.0405018126938774	29.59727616623854
Bhathia_01	R407F	283.0	3.202737898510204	29.502156952972975
Bhathia_01	R407F	283.0	3.3649739843265305	29.41609481888027
Bhathia_01	R407F	283.0	3.527210070142857	29.337613451564433
Bhathia_01	R407F	283.0	3.6894461559591836	29.265579656054598
Bhathia_01	R407F	283.0	3.85168224177551	29.199137996136145
Bhathia_01	R407F	283.0	4.013918327591837	29.13770590988154
Bhathia_01	R407F	283.0	4.176154413408163	29.080831383394855
Bhathia_01	R407F	283.0	4.33839049922449	29.027974372378985
Bhathia_01	R407F	283.0	4.500626585040816	28.978616365389442
Bhathia_01	R407F	283.0	4.662862670857143	28.932367832251245
Bhathia_01	R407F	283.0	4.825098756673469	28.88884138223499
Bhathia_01	R407F	283.0	4.987334842489796	28.847740641117195
Bhathia_01	R407F	283.0	5.149570928306122	28.80890035758565
Bhathia_01	R407F	283.0	5.311807014122449	28.772095271088148
Bhathia_01	R407F	283.0	5.4740430999387755	28.737121744540076
Bhathia_01	R407F	283.0	5.636279185755102	28.703761392576833
Bhathia_01	R407F	283.0	5.7985152715714285	28.671604176244337
Bhathia_01	R407F	283.0	5.960751357387755	28.64034791208119
Bhathia_01	R407F	283.0	6.122987443204082	28.60988041032165
Bhathia_01	R407F	283.0	6.285223529020408	28.579779813321068
Bhathia_01	R407F	283.0	6.447459614836735	28.548935537398307
Bhathia_01	R407F	283.0	6.609695700653061	28.51542384510349
Bhathia_01	R407F	283.0	6.771931786469388	28.47620259200653
Bhathia_01	R407F	283.0	6.934167872285714	28.426566382473148
Bhathia_01	R407F	283.0	7.096403958102041	28.3599136366501
Bhathia_01	R407F	283.0	7.258640043918367	28.26815075703728
Bhathia_01	R407F	283.0	7.420876129734694	28.143299162729846
Bhathia_01	R407F	283.0	7.58311221555102	27.98145418557273
Bhathia_01	R407F	283.0	7.745348301367347	27.791161258751032
Bhathia_01	R407F	283.0	7.9075843871836735	27.606218370026824
Bhathia_01	R407F	283.0	8.069820473	27.48702175669452
Bhathia_01	R407F	303.0	0.3450152379387755	36.04182931915258
Bhathia_01	R407F	303.0	0.4959233804081632	35.50158780807764
Bhathia_01	R407F	303.0	0.646831522877551	34.683067200442
Bhathia_01	R407F	303.0	0.7977396653469387	33.85802804073944
Bhathia_01	R407F	303.0	0.9486478078163264	33.14716837226666
Bhathia_01	R407F	303.0	1.0995559502857144	32.55741324342112
Bhathia_01	R407F	303.0	1.250464092755102	32.06305841050945
Bhathia_01	R407F	303.0	1.4013722352244897	31.64133873893286
Bhathia_01	R407F	303.0	1.5522803776938776	31.27731984697464
Bhathia_01	R407F	303.0	1.7031885201632653	30.961692781099178
Bhathia_01	R407F	303.0	1.854096662632653	30.68826302934341
Bhathia_01	R407F	303.0	2.0050048051020406	30.45173420724653
Bhathia_01	R407F	303.0	2.1559129475714287	30.24645974778366
Bhathia_01	R407F	303.0	2.3068210900408164	30.066711094237384
Bhathia_01	R407F	303.0	2.457729232510204	29.90763726950476
Bhathia_01	R407F	303.0	2.6086373749795917	29.765619461448686
Bhathia_01	R407F	303.0	2.7595455174489794	29.63790924376634
Bhathia_01	R407F	303.0	2.9104536599183675	29.52221878710518
Bhathia_01	R407F	303.0	3.061361802387755	29.416608012076647
Bhathia_01	R407F	303.0	3.212269944857143	29.31955495108049
Bhathia_01	R407F	303.0	3.3631780873265305	29.229966202967233
Bhathia_01	R407F	303.0	3.514086229795918	29.14704716046517
Bhathia_01	R407F	303.0	3.6649943722653058	29.070145607519486
Bhathia_01	R407F	303.0	3.815902514734694	28.998640058812292
Bhathia_01	R407F	303.0	3.9668106572040815	28.931873120644894
Bhathia_01	R407F	303.0	4.11771879967347	28.869202717540865
Bhathia_01	R407F	303.0	4.268626942142857	28.810158937628117
Bhathia_01	R407F	303.0	4.419535084612245	28.754465557178673
Bhathia_01	R407F	303.0	4.570443227081633	28.70184936409226
Bhathia_01	R407F	303.0	4.72135136955102	28.651981993243446
Bhathia_01	R407F	303.0	4.872259512020408	28.60467625404407
Bhathia_01	R407F	303.0	5.023167654489796	28.55986786709115
Bhathia_01	R407F	303.0	5.174075796959183	28.517272606590183
Bhathia_01	R407F	303.0	5.324983939428571	28.476376190112006
Bhathia_01	R407F	303.0	5.475892081897959	28.436918259509152
Bhathia_01	R407F	303.0	5.626800224367346	28.399061024919963
Bhathia_01	R407F	303.0	5.777708366836735	28.362915373416207
Bhathia_01	R407F	303.0	5.9286165093061225	28.328129071408085
Bhathia_01	R407F	303.0	6.07952465177551	28.293897404622385
Bhathia_01	R407F	303.0	6.230432794244898	28.258954920563117
Bhathia_01	R407F	303.0	6.3813409367142855	28.221299408736396
Bhathia_01	R407F	303.0	6.532249079183673	28.177835388682645
Bhathia_01	R407F	303.0	6.683157221653061	28.124189207481635
Bhathia_01	R407F	303.0	6.8340653641224485	28.055009148706876
Bhathia_01	R407F	303.0	6.984973506591836	27.96578199689067
Bhathia_01	R407F	303.0	7.135881649061224	27.858521828997183
Bhathia_01	R407F	303.0	7.2867897915306115	27.751439285938943
Bhathia_01	R407F	303.0	7.437697934	27.681124280006976
Bhathia_01	R407F	333.0	0.28233071057142856	36.837020085837544
Bhathia_01	R407F	333.0	0.41679103785714283	36.23384876456578
Bhathia_01	R407F	333.0	0.5512513651428571	35.324773021982956
Bhathia_01	R407F	333.0	0.6857116924285714	34.412825076901015
Bhathia_01	R407F	333.0	0.8201720197142857	33.62726528265614
Bhathia_01	R407F	333.0	0.9546323469999999	32.972640332190764
Bhathia_01	R407F	333.0	1.089092674285714	32.42120134845976
Bhathia_01	R407F	333.0	1.2235530015714284	31.95005642975252
Bhathia_01	R407F	333.0	1.3580133288571428	31.544662261131222
Bhathia_01	R407F	333.0	1.4924736561428569	31.195351943663354
Bhathia_01	R407F	333.0	1.6269339834285712	30.894086172994136
Bhathia_01	R407F	333.0	1.7613943107142855	30.63280040180279
Bhathia_01	R407F	333.0	1.8958546379999996	30.40378822122174
Bhathia_01	R407F	333.0	2.030314965285714	30.200782863394085
Bhathia_01	R407F	333.0	2.1647752925714285	30.019193132164233
Bhathia_01	R407F	333.0	2.299235619857143	29.85554716908605
Bhathia_01	R407F	333.0	2.433695947142857	29.706986563267
Bhathia_01	R407F	333.0	2.5681562744285715	29.571139340806774
Bhathia_01	R407F	333.0	2.702616601714286	29.446176018639378
Bhathia_01	R407F	333.0	2.8370769289999997	29.330791624727183
Bhathia_01	R407F	333.0	2.971537256285714	29.22405083644295
Bhathia_01	R407F	333.0	3.1059975835714284	29.125194657229734
Bhathia_01	R407F	333.0	3.2404579108571427	29.033482962316864
Bhathia_01	R407F	333.0	3.374918238142857	28.94812579485992
Bhathia_01	R407F	333.0	3.5093785654285714	28.86837104276954
Bhathia_01	R407F	333.0	3.6438388927142857	28.79366189352875
Bhathia_01	R407F	333.0	3.7782992199999996	28.72363841773744
Bhathia_01	R407F	333.0	3.912759547285714	28.657942330594537
Bhathia_01	R407F	333.0	4.047219874571428	28.596109992005175
Bhathia_01	R407F	333.0	4.181680201857143	28.537760587011476
Bhathia_01	R407F	333.0	4.3161405291428565	28.48276121026984
Bhathia_01	R407F	333.0	4.45060085642857	28.431004588779327
Bhathia_01	R407F	333.0	4.585061183714285	28.382099083289653
Bhathia_01	R407F	333.0	4.719521510999999	28.33549853163737
Bhathia_01	R407F	333.0	4.853981838285714	28.290983880413386
Bhathia_01	R407F	333.0	4.988442165571428	28.248837360212253
Bhathia_01	R407F	333.0	5.1229024928571425	28.209397795023058
Bhathia_01	R407F	333.0	5.257362820142856	28.172600211359224
Bhathia_01	R407F	333.0	5.391823147428571	28.138049795378656
Bhathia_01	R407F	333.0	5.526283474714285	28.10525382861809
Bhathia_01	R407F	333.0	5.660743801999999	28.073584091730638
Bhathia_01	R407F	333.0	5.795204129285714	28.042108129632968
Bhathia_01	R407F	333.0	5.929664456571428	28.00947496157473
Bhathia_01	R407F	333.0	6.064124783857142	27.973914632783433
Bhathia_01	R407F	333.0	6.198585111142856	27.93369546872742
Bhathia_01	R407F	333.0	6.333045438428571	27.889080351049437
Bhathia_01	R407F	333.0	6.467505765714285	27.846190979416004
Bhathia_01	R407F	333.0	6.601966093	27.81840745581027
Bhathia_01	R407F	353.0	0.25099278946938774	37.35127573664876
Bhathia_01	R407F	353.0	0.37284764320408165	36.71681159695464
Bhathia_01	R407F	353.0	0.4947024969387755	35.7654040845856
Bhathia_01	R407F	353.0	0.6165573506734694	34.81644799862593
Bhathia_01	R407F	353.0	0.7384122044081634	34.000959996453176
Bhathia_01	R407F	353.0	0.8602670581428572	33.3193572656866
Bhathia_01	R407F	353.0	0.982121911877551	32.741615038629575
Bhathia_01	R407F	353.0	1.103976765612245	32.24487902964452
Bhathia_01	R407F	353.0	1.2258316193469387	31.81533748313943
Bhathia_01	R407F	353.0	1.3476864730816327	31.443798330175596
Bhathia_01	R407F	353.0	1.4695413268163267	31.122166923804812
Bhathia_01	R407F	353.0	1.5913961805510204	30.841999218926563
Bhathia_01	R407F	353.0	1.7132510342857143	30.59526622031674
Bhathia_01	R407F	353.0	1.835105888020408	30.37557875243464
Bhathia_01	R407F	353.0	1.956960741755102	30.178320442840405
Bhathia_01	R407F	353.0	2.0788155954897958	29.999991090946942
Bhathia_01	R407F	353.0	2.2006704492244897	29.837678307501946
Bhathia_01	R407F	353.0	2.3225253029591832	29.68893673067464
Bhathia_01	R407F	353.0	2.444380156693877	29.55185323243627
Bhathia_01	R407F	353.0	2.566235010428571	29.42503550094903
Bhathia_01	R407F	353.0	2.688089864163265	29.307466912855404
Bhathia_01	R407F	353.0	2.809944717897959	29.198326108112187
Bhathia_01	R407F	353.0	2.931799571632653	29.096837715169336
Bhathia_01	R407F	353.0	3.0536544253673465	29.002189928423057
Bhathia_01	R407F	353.0	3.1755092791020405	28.913582026133646
Bhathia_01	R407F	353.0	3.2973641328367345	28.830382743439767
Bhathia_01	R407F	353.0	3.4192189865714284	28.752215253336765
Bhathia_01	R407F	353.0	3.5410738403061224	28.67881408776354
Bhathia_01	R407F	353.0	3.662928694040816	28.609800465122824
Bhathia_01	R407F	353.0	3.78478354777551	28.54471826620771
Bhathia_01	R407F	353.0	3.906638401510204	28.483328726984645
Bhathia_01	R407F	353.0	4.028493255244897	28.425684391293522
Bhathia_01	R407F	353.0	4.150348108979592	28.37176157534659
Bhathia_01	R407F	353.0	4.272202962714285	28.32113296823698
Bhathia_01	R407F	353.0	4.39405781644898	28.273169591666832
Bhathia_01	R407F	353.0	4.515912670183673	28.227557476497054
Bhathia_01	R407F	353.0	4.637767523918367	28.184519894471038
Bhathia_01	R407F	353.0	4.759622377653061	28.144446648781248
Bhathia_01	R407F	353.0	4.881477231387755	28.107359909961524
Bhathia_01	R407F	353.0	5.003332085122449	28.072887841983693
Bhathia_01	R407F	353.0	5.1251869388571425	28.0405851365292
Bhathia_01	R407F	353.0	5.247041792591836	28.010017430178884
Bhathia_01	R407F	353.0	5.36889664632653	27.98063997760388
Bhathia_01	R407F	353.0	5.490751500061224	27.951733113810878
Bhathia_01	R407F	353.0	5.612606353795918	27.922574629873587
Bhathia_01	R407F	353.0	5.734461207530612	27.893372172419355
Bhathia_01	R407F	353.0	5.856316061265306	27.867230297582708
Bhathia_01	R407F	353.0	5.978170915	27.850933862708466
