framework	molecule	T_ads_K	T_des_K	P_ads_Pa	P_des_Pa	SD
Bhathia_01	R407F	283.0	303.0	50000.0	131.76170241217702	0.027400715187043286
Bhathia_01	R407F	283.0	303.0	50000.0	136.3838189377566	0.11462285118904396
Bhathia_01	R407F	283.0	303.0	50000.0	141.16807636456102	0.20485493100847954
Bhathia_01	R407F	283.0	303.0	50000.0	146.12016249204424	0.29819898971655934
Bhathia_01	R407F	283.0	303.0	50000.0	151.24596464403913	0.39476038814648545
Bhathia_01	R407F	283.0	303.0	50000.0	156.55157666794562	0.49464791145735626
Bhathia_01	R407F	283.0	303.0	50000.0	162.04330617944572	0.5979738698633764
Bhathia_01	R407F	283.0	303.0	50000.0	167.72768206135862	0.7048542015120467
Bhathia_01	R407F	283.0	303.0	50000.0	173.6114622255508	0.815408577487906
Bhathia_01	R407F	283.0	303.0	50000.0	179.70164164712898	0.9231140727492341
Bhathia_01	R407F	283.0	303.0	50000.0	186.00546068046754	1.0275819524784964
Bhathia_01	R407F	283.0	303.0	50000.0	192.53041366695666	1.1356423154296782
Bhathia_01	R407F	283.0	303.0	50000.0	199.28425784470534	1.2474160305024233
Bhathia_01	R407F	283.0	303.0	50000.0	206.27502257078967	1.363027838722631
Bhathia_01	R407F	283.0	303.0	50000.0	213.51101886701414	1.4826064628116729
Bhathia_01	R407F	283.0	303.0	50000.0	221.00084930052978	1.6062847187243359
Bhathia_01	R407F	283.0	303.0	50000.0	228.7534182110594	1.7341996290907433
Bhathia_01	R407F	283.0	303.0	50000.0	236.77794229688686	1.8664925384856388
Bhathia_01	R407F	283.0	303.0	50000.0	245.08396157219659	1.9925765893503253
Bhathia_01	R407F	283.0	303.0	50000.0	253.68135070878884	2.1174919694075482
Bhathia_01	R407F	283.0	303.0	50000.0	262.58033077565597	2.2466846769212703
Bhathia_01	R407F	283.0	303.0	50000.0	271.7914813903746	2.380297288747446
Bhathia_01	R407F	283.0	303.0	50000.0	281.32575329676206	2.5184768500360635
